Description,Name,UNII,SMILES,Target name,Target uniprot,Target gene name,Approved
Canfosfamide is an active agent in chemotherapy-resistant ovarian cancer.,Canfosfamide,1RS284BFUI,N[C@@H](CCC(=O)N[C@@H](CS(=O)(=O)CCOP(=O)(N(CCCl)CCCl)N(CCCl)CCCl)C(=O)N[C@@H](C(O)=O)C1=CC=CC=C1)C(O)=O,Glutathione S-transferase P,P09211,GSTP1,false
"AZD7762 has been investigated for the treatment of Cancer, Solid Tumors, and Advanced Solid Malignancies.",AZD-7762,5D822Y3L1H,NC(=O)NC1=C(SC(=C1)C1=CC=CC(F)=C1)C(=O)N[C@H]1CCCNC1,"","","",false
"Actinium has been investigated for the treatment of Breast Cancer and Pulmonary Disease, Chronic Obstructive.",Actinium,NIK1K0956U,[Ac],"","","",false
Martinostat is under investigation in clinical trial NCT03721211 (Imaging With [11C]Martinostat in Breast Cancer).,Martinostat,8JJC99KHGL,CN(CC1=CC=C(\C=C\C(=O)NO)C=C1)CC12CC3CC(CC(C3)C1)C2,"","","",false
Utomilumab is under investigation in clinical trial NCT03318900 (T Cell Immunotherapy for Advanced Ovarian Cancer).,Utomilumab,6YY8O697VF,,"","","",false
FLX475 is a small molecule CCR4 antagonist being investigated for the treatment of cancer.[L9875],FLX475,,,C-C chemokine receptor type 4,P51679,CCR4,false
"Cisplatin, cisplatinum or cis-diamminedichloroplatinum(II) (CDDP) is a platinum-based chemotherapy drug used to treat various types of cancers, including sarcomas, some carcinomas (e.g. small cell lung cancer, and ovarian cancer), lymphomas and germ cell tumors. It was the first member of its class, which now also includes carboplatin and oxaliplatin.",Cisplatin,Q20Q21Q62J,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],DNA; Canalicular multispecific organic anion transporter 2; Multidrug resistance-associated protein 5; Canalicular multispecific organic anion transporter 1; Solute carrier family 22 member 2; High affinity copper uptake protein 1; Probable low affinity copper uptake protein 2; Multidrug resistance-associated protein 6; Copper-transporting ATPase 2; Copper-transporting ATPase 1; Prostaglandin G/H synthase 2; Myeloperoxidase; Xanthine dehydrogenase/oxidase; Arylamine N-acetyltransferase; Cytochrome P450 2C9; Cytochrome P450 2B6; Cholinesterase; Cytochrome P450 4A11; ATP-binding cassette sub-family G member 2; Glutathione S-transferase theta-1; Metallothionein-1A; Metallothionein-2; Superoxide dismutase [Cu-Zn]; Glutathione S-transferase P; NAD(P)H dehydrogenase [quinone] 1; Glutathione S-transferase Mu 1; DNA-3-methyladenine glycosylase; Alpha-2-macroglobulin; Serum albumin; Serotransferrin; Copper transport protein ATOX1,; O15438; O15440; Q92887; O15244; O15431; O15432; O95255; P35670; Q04656; P35354; P05164; P47989; P9WJI5; P11712; P20813; P06276; Q02928; Q9UNQ0; P30711; P04731; P02795; P00441; P09211; P15559; P09488; P29372; P01023; P02768; P02787; O00244,; ABCC3; ABCC5; ABCC2; SLC22A2; SLC31A1; SLC31A2; ABCC6; ATP7B; ATP7A; PTGS2; MPO; XDH; nat; CYP2C9; CYP2B6; BCHE; CYP4A11; ABCG2; GSTT1; MT1A; MT2A; SOD1; GSTP1; NQO1; GSTM1; MPG; A2M; ALB; TF; ATOX1,true
Samarium Sm 153 lexidronam is a radioactive medication used to treat pain caused by cancer that has spread to the bone. It is a radiopharmaceutical. Radiopharmaceuticals are radioactive agents that may be used to diagnose some diseases by studying the function of the body's organs or to treat certain diseases.Samarium Sm 153 lexidronam is used to help relieve the bone pain that may occur with certain kinds of cancer. The radioactive samarium is taken up in the bone cancer area and gives off radiation that helps provide relief of pain.,Samarium (153Sm) lexidronam,745X144DZY,[153Sm+3].OP(O)(=O)CN(CCN(CP(O)([O-])=O)CP(O)([O-])=O)CP(O)([O-])=O,"","","",true
"Afuresertib has been used in trials studying the treatment of Cancer and Neoplasms, Haematologic.",Afuresertib,8739X25QI3,CN1N=CC(Cl)=C1C1=C(Cl)SC(=C1)C(=O)N[C@H](CN)CC1=CC=CC(F)=C1,"","","",false
Ricolinostat is under investigation for the treatment of Breast Carcinoma and Metastatic Breast Cancer.,Ricolinostat,WKT909C62B,ONC(=O)CCCCCCNC(=O)C1=CN=C(N=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,"","","",false
"MK-5108 has been used in trials studying the treatment of Cancer, Neoplasms, Tumors.",MK-5108,H8J407531S,OC(=O)[C@@]1(CC2=CC=CC(NC3=NC=CS3)=N2)CC[C@@H](CC1)OC1=C(F)C(Cl)=CC=C1,Aurora kinase A,O14965,AURKA,false
"GSK690693 has been used in trials studying the treatment of Tumor, CANCER, and Lymphoma.",GSK-690693,GWH480321B,[H][C@]1(COC2=C3N(CC)C(=NC3=C(N=C2)C#CC(C)(C)O)C2=NON=C2N)CCCNC1,"","","",false
"AS1409 is a genetically engineered fusion protein made up of two distinct components. One is the cytokine IL12, which has anti-cancer activity. The other is an antibody that targets tumours. It is developed by Antisoma is in a phase I of clinical trial for the treatment of renal cancer and melanoma.",AS1409,,,"","","",false
Capivasertib has been investigated for the treatment of Metastatic Breast Cancer.,Capivasertib,WFR23M21IE,NC1(CCN(CC1)C1=C2C=CNC2=NC=N1)C(=O)N[C@@H](CCO)C1=CC=C(Cl)C=C1,"","","",false
"Abemaciclib is an antitumor agent and dual inhibitor of cyclin-dependent kinases 4 (CDK4) and 6 (CDK6) that are involved in the cell cycle and promotion of cancer cell growth in case of unregulated activity. On September 28, 2017, FDA granted approval of abemaciclib treatment under the market name Verzenio for the treatment of HR-positive and HER2-negative advanced or metastatic breast cancer that has progressed after unsuccessful endocrine therapy. It is either given alone in patients who has undergone endocrine therapy and chemotherapy after the metastasis of cancer, or in combination with [DB00947]. Following oral treatment in patients with HR-positive, HER2-negative breast cancer, abemaciclib demonstrated increased progression-free survival rates and objective response rates. Abemaciclib has been used in trials studying the treatment of melanoma, lymphoma, neoplasm, solid tumor, and glioblastoma.",Abemaciclib,60UAB198HK,CCN1CCN(CC2=CC=C(NC3=NC=C(F)C(=N3)C3=CC(F)=C4N=C(C)N(C(C)C)C4=C3)N=C2)CC1,Multidrug and toxin extrusion protein 1; Multidrug and toxin extrusion protein 2; Cyclin-dependent kinase 4; Cyclin-dependent kinase 6; Serum albumin; alpha1-acid glycoprotein; Cytochrome P450 3A4; P-glycoprotein 1; ATP-binding cassette sub-family G member 2; Solute carrier family 22 member 2; Cytochrome P450 1A2; Cytochrome P450 2B6; Cytochrome P450 2C8; Cytochrome P450 2C9; Cytochrome P450 2D6,Q96FL8; Q86VL8; P11802; Q00534; P02768; P02763; P19652; P08684; P08183; Q9UNQ0; O15244; P05177; P20813; P10632; P11712; P10635,SLC47A1; SLC47A2; CDK4; CDK6; ALB; ORM1; ORM2; CYP3A4; ABCB1; ABCG2; SLC22A2; CYP1A2; CYP2B6; CYP2C8; CYP2C9; CYP2D6,true
Vapreotide is a synthetic octapeptide somatostatin analog. It was being studied for the treatment of cancer.,Vapreotide,2PK59M9GFF,CC(C)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=CC=CC=C23)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(N)=O)NC(=O)[C@H](N)CC1=CC=CC=C1,Neurokinin 1 receptor; Somatostatin receptor type 2; Somatostatin receptor type 5; Cytochrome P450 3A4,P25103; P30874; P35346; P08684,TACR1; SSTR2; SSTR5; CYP3A4,false
ARN-810 has been used in trials studying the basic science and treatment of Breast Cancer.,GDC-0810,9MM2R1A06R,CC\C(=C(\C1=CC=C(\C=C\C(O)=O)C=C1)C1=CC=C2NN=CC2=C1)C1=CC=C(F)C=C1Cl,"","","",false
Thioureidobutyronitrile has been used in trials studying the treatment of Solid Tumors and Ovarian cancer.,4-isothioureidobutyronitrile,C3059TG1KN,NC(=N)SCCCC#N,"","","",false
Gossypol has been used in trials studying the treatment of Non-small Cell Lung Cancer.,Gossypol,KAV15B369O,CC(C)C1=C2C=C(C)C(=C(O)C2=C(C=O)C(O)=C1O)C1=C(O)C2=C(C=O)C(O)=C(O)C(C(C)C)=C2C=C1C,Bcl-2-like protein 1,Q07817,BCL2L1,false
Secoisolariciresinol has been used in trials studying the prevention of Breast Cancer.,Secoisolariciresinol,M8QRJ7JEJH,COC1=C(O)C=CC(C[C@@H](CO)[C@H](CO)CC2=CC(OC)=C(O)C=C2)=C1,"","","",false
BMS-863233 has been investigated for the treatment of Refractory Hematologic Cancer.,BMS-863233,8QK62S7492,[H][C@]1(CCCN1)C1=NC2=C(OC3=C2C=C(Cl)C=C3)C(=O)N1,"","","",false
Tempol has been used in trials studying the treatment of Anal Cancer.,Tempol,U78ZX2F65X,CC1(C)CC(O)CC(C)(C)N1[O],"","","",false
BMS-911543 has been used in trials studying the treatment of Cancer.,BMS-911543,7N03P021J8,CCN1C(=CC2=C3N(C)C=NC3=C(NC3=NN(C)C(C)=C3)N=C12)C(=O)N(C1CC1)C1CC1,"","","",false
Chromanol has been used in trials studying the treatment of Prostate Cancer.,Chromanol,7G73627R36,CC1=C(O)C(C)=C2CCC(C)(C)OC2=C1C,"","","",false
"Tovetumab has been used in trials studying the treatment of Cancer, Glioblastoma Multiforme, and Advanced Solid Malignancies.",Tovetumab,2XY62K75UV,,"","","",false
Lonaprisan is under investigation in clinical trial NCT00555919 (ZK 230211 in Postmenopausal Woman With Metastatic Breast Cancer).,Lonaprisan,F5Z5EL4D26,[H][C@@]12CC[C@@](O)(C(F)(F)C(F)(F)F)[C@@]1(C)C[C@H](C1=CC=C(C=C1)C(C)=O)C1=C3CCC(=O)C=C3CC[C@@]21[H],"","","",false
An antineoplastic agent that is a derivative of progesterone and used to treat advanced breast cancer.,Testolactone,6J9BLA949Q,[H][C@@]12CCC3=CC(=O)C=C[C@]3(C)[C@@]1([H])CC[C@]1(C)OC(=O)CC[C@@]21[H],Cytochrome P450 19A1,P11511,CYP19A1,true
Oleandrin has been used in trials studying the treatment of Lung Cancer and Chemotherapeutic Agent Toxicity.,Oleandrin,II95UDU7I4,CO[C@H]1C[C@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H]([C@H](C[C@]43O)OC(C)=O)C3=CC(=O)OC3)C2)O[C@@H](C)[C@@H]1O,Matrix metalloproteinase-9; 72 kDa type IV collagenase; Apoptosis regulator Bcl-2; Beta-nerve growth factor; Caspase-3; Caspase-8; Ephrin type-B receptor 2; Interleukin-8; Nuclear factor kappa-light-chain-enhancer of activated B cells; Pro-epidermal growth factor; Serine/threonine-protein kinase mTOR,P14780; P08253; P10415; P01138; P42574; Q14790; P29323; P10145; ; P01133; P42345,MMP9; MMP2; BCL2; NGF; CASP3; CASP8; EPHB2; CXCL8; ; EGF; MTOR,false
Methfuroxam is under investigation in clinical trial NCT01213407 (Dendritic Cell Cancer Vaccine for High-grade Glioma).,Methfuroxam,4K9VG91RQZ,CC1=C(C)C(C(=O)NC2=CC=CC=C2)=C(C)O1,"","","",false
"INCB7839 is a novel, orally available ADAM metalloprotease inhibitor that is designed to block activation of the epidermal growth factor (EGFR) pathways. It represents a potentially important new class of targeted breast cancer therapy. It has shown promising clinical activity in heavily pretreated, refractory breast cancer patients.",INCB7839,,,Disintegrin and metalloproteinase domain-containing protein 9,Q13443,ADAM9,false
"Pralatrexate is an antifolate for the treatment of relapsed or refractory peripheral T-cell lymphoma [L37674]. Pralatrexate was developed in response due to the inferior responses of patients using the standard therapy for their B-cells counterparts.[A246693] Compared to methotrexate, pralatrexate has better accumulation in cancer cells.[A246693] Pralatrexate is designed to have a higher affinity for the reduced folate carrier, a protein that is overexpressed in malignant cells and is upregulated by oncogenes.[A246703] As such, pralatrexate is thought to have a better therapeutic window compared to other antifolate analogs due to the novel target of RFC.[A246703]

Pralatrexate was approved by the FDA on September 24, 2009.[L37674] It is also being studied for other types of lymphoma and solid malignancy such as non-small-cell lung cancer, breast cancer, and bladder cancer.[A246678]",Pralatrexate,A8Q8I19Q20,NC1=NC2=NC=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1,"Dihydrofolate reductase; Thymidylate synthase; Folate transporter 1; Canalicular multispecific organic anion transporter 1; ATP-binding cassette sub-family G member 2; Serum albumin; Folylpolyglutamate synthase, mitochondrial; Proton-coupled folate transporter; Canalicular multispecific organic anion transporter 2; Solute carrier organic anion transporter family member 1B3",P00374; P04818; P41440; Q92887; Q9UNQ0; P02768; Q05932; Q96NT5; O15438; Q9NPD5,DHFR; TYMS; SLC19A1; ABCC2; ABCG2; ALB; FPGS; SLC46A1; ABCC3; SLCO1B3,true
"Produced in CHO cell cultures, trastuzumab is a recombinant IgG1 kappa, humanized monoclonal antibody [A40276] that selectively binds with high affinity in a cell-based assay (Kd = 5 nM) to the extracellular domain of the human epidermal growth factor receptor protein (HER2).[L14015] It is used as a treatment of human epidermal growth factor receptor (HER)-2+ metastatic breast cancer, where there is a proven amplification of the HER-2 oncogene or over-expression of the HER-2 protein in tumours. It is suggested that the overexpression or gene amplification of HER2 has been found in about 20–30% of breast cancers and elevated activation of HER2 triggers multiple downstream pathways leading to abnormal proliferation of cancer cells [A121]. Trastuzumab binds to HER2 and suppresses cancer cell growth, proliferation, and survival directly and indirectly [A121].

In December 2017, FDA approved OGIVRI (trastuzumab-dkst) as a biosimilar to Herceptin (trastuzumab) for the treatment of patients with breast or metastatic stomach cancer (gastric or gastroesophageal junction adenocarcinoma) whose tumors overexpress the HER2 gene (HER2+). It displays biosimilar properties as Herceptin according to clinical data. While Ogivri is the first biosimilar approved in the U.S. for the treatment of breast cancer or stomach cancer, it is the second biosimilar approved in the U.S. for the treatment of cancer. Herzuma (trastuzumab-pkrb) is a biosimilar drug approved in December 2018 for the treatment of HER2-overexpressing breast cancer. KANJINTI (trastuzumab-anns) is another biosimilar approved by the FDA in June 2019.[L14135] ONTRUZANT, another biosimilar of Herceptin, was approved by Health Canada in February 2022.[L40303, L40308]",Trastuzumab,P188ANX8CK,,Receptor tyrosine-protein kinase erbB-2,P04626,ERBB2,true
"Ribociclib is a selective cyclin-dependent kinase inhibitor, a class of drugs that help slow the progression of cancer by inhibiting two proteins called cyclin-dependent kinase 4 and 6 (CDK4/6). These proteins, when over-activated, can enable cancer cells to grow and divide too quickly. Targeting CDK4/6 with enhanced precision may play a role in ensuring that cancer cells do not continue to replicate uncontrollably. Ribociclib was approved by the U.S. FDA in March, 2017 as Kisqali.",Ribociclib,TK8ERE8P56,CN(C)C(=O)C1=CC2=CN=C(NC3=CC=C(C=N3)N3CCNCC3)N=C2N1C1CCCC1,Cyclin-dependent kinase 4; Cyclin-dependent kinase 6; Cytochrome P450 3A4,P11802; Q00534; P08684,CDK4; CDK6; CYP3A4,true
Apaziquone has been investigated for the treatment of Bladder Cancer and Bladder Neoplasms.,Apaziquone,H464ZO600O,CN1C(\C=C\CO)=C(CO)C2=C1C(=O)C=C(N1CC1)C2=O,"","","",false
Abituzumab has been used in trials studying the treatment of Prostate Cancer Metastatic.,Abituzumab,724QD330RD,,"","","",false
Henatinib has been used in trials studying the treatment of Advanced Solid Cancer.,Henatinib,TE20GB753F,CC1=C(NC2=C1C(=O)N(C[C@H](O)CN1CCOCC1)CCC2)\C=C1/C(=O)NC2=CC=C(F)C=C12,"","","",false
Sibrotuzumab is a humanized monoclonal antibody directed against fibroblast activation protein (FAP). It is used to treat cancer.,Sibrotuzumab,552U6E1NIW,,Seprase,Q12884,FAP,false
Enobosarm has been used in trials studying the treatment of Stress Urinary Incontinence and Triple Negative Breast Cancer.,Enobosarm,O3571H3R8N,C[C@](O)(COC1=CC=C(C=C1)C#N)C(=O)NC1=CC=C(C#N)C(=C1)C(F)(F)F,"","","",false
"VS-5584 has been used in trials studying the treatment of Lymphoma, Metastatic Cancer, and Non Hematologic Cancers.",VS-5584,W71J4X250V,CC(C)N1C(C)=NC2=C(N=C(N=C12)N1CCOCC1)C1=CN=C(N)N=C1,"","","",false
Rivoceranib is under investigation in clinical trial NCT02726854 (Apatinib as Second-line Treatment of Advanced Pancreatic Cancer).,Rivoceranib,5S371K6132,O=C(NC1=CC=C(C=C1)C1(CCCC1)C#N)C1=CC=CN=C1NCC1=CC=NC=C1,"","","",false
DCFBC F-18 is under investigation in clinical trial NCT02190279 (18F-DCFBC PET/CT in Prostate Cancer).,DCFBC F-18,TUP7882K8T,OC(=O)CC[C@H](NC(=O)N[C@@H](CSCC1=CC=C([18F])C=C1)C(O)=O)C(O)=O,"","","",false
GP2 peptide is under investigation in clinical trial NCT00524277 (Vaccine Therapy in Treating Patients With Breast Cancer).,GP2 peptide,FQA52PV28G,,"","","",false
"Tipiracil is a thymidine phosphorylase inhibitor. It is used in combination with trifluridine, in a ratio of 1:0.5, to form TAS-102. The main function of Tipiracil in TAS-102 is to increase trifluridine bioavailability by inhibiting its catabolism.[A31255] TAS-102 is indicated for the treatment of metastatic colorectal cancer which has been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, or with an anti-VEGF or anti-EGFR therapy.[A31254]",Tipiracil,NGO10K751P,ClC1=C(CN2CCCC2=N)NC(=O)NC1=O,Thymidine phosphorylase; Solute carrier family 22 member 2; Multidrug and toxin extrusion protein 1,P19971; O15244; Q96FL8,TYMP; SLC22A2; SLC47A1,true
"Mitometh is under investigation for the treatment of Adenocarcinoma, Oropharyngeal Neoplasms, Nasopharyngeal Carcinoma, Non-small Cell Lung Cancer, and Stage IV Non-small Cell Lung Cancer, among others. Mitometh has been investigated for the treatment of Lung Neoplasms, Untreated Childhood Medulloblastoma, and Untreated Childhood Supratentorial Primitive Neuroectodermal Tumor.",Mitometh,H8MTN7XVC2,CC(Cl)(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl,"","","",false
Neratinib was approved in July 2017 for use as an extended adjuvant therapy in Human Epidermal Growth Factor Receptor 2 (HER2) positive breast cancer. Approval was granted to Puma Biotechnology Inc. for the tradename Nerlynx. Neratinib is currently under investigation for use in many other forms of cancer.,Neratinib,JJH94R3PWB,CCOC1=C(NC(=O)\C=C\CN(C)C)C=C2C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C(C=NC2=C1)C#N,Cytochrome P450 3A4; Dimethylaniline monooxygenase [N-oxide-forming] 3; P-glycoprotein 1; Epidermal growth factor receptor; Serum albumin; alpha1-acid glycoprotein,P08684; P31513; P08183; P00533; P02768; P02763; P19652,CYP3A4; FMO3; ABCB1; EGFR; ALB; ORM1; ORM2,true
"Gemcitabine is a nucleoside analog and a chemotherapeutic agent. It was originally investigated for its antiviral effects, but it is now used as an anticancer therapy for various cancers.[A233135] Gemcitabine is a cytidine analog with two fluorine atoms replacing the hydroxyl on the ribose.[A233145] As a prodrug, gemcitabine is transformed into its active metabolites that work by replacing the building blocks of nucleic acids during DNA elongation, arresting tumour growth and promoting apoptosis of malignant cells.[L32960] The structure, metabolism, and mechanism of action of gemcitabine are similar to [cytarabine], but gemcitabine has a wider spectrum of antitumour activity.[A233140]

Gemcitabine is marketed as Gemzar and it is available as intravenous injection. It is approved by the FDA to treat advanced ovarian cancer in combination with [carboplatin], metastatic breast cancer in combination with [paclitaxel], non-small cell lung cancer in combination with [cisplatin], and pancreatic cancer as monotherapy.[L32950] It is also being investigated in other cancer and tumour types.",Gemcitabine,B76N6SBZ8R,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,"Ribonucleoside-diphosphate reductase large subunit; UMP-CMP kinase; Thymidylate synthase; Cytidine deaminase; Deoxycytidine kinase; P-glycoprotein 1; Multidrug resistance-associated protein 7; Equilibrative nucleoside transporter 1; DNA; Sodium/nucleoside cotransporter 1; Equilibrative nucleoside transporter 2; Solute carrier family 28 member 3; Thymidine kinase 2, mitochondrial; UMP-CMP kinase; Nucleoside diphosphate kinase A",P23921; P30085; P04818; P32320; P27707; P08183; Q5T3U5; Q99808; ; O00337; Q14542; Q9HAS3; O00142; P15531,RRM1; CMPK1; TYMS; CDA; DCK; ABCB1; ABCC10; SLC29A1; ; SLC28A1; SLC29A2; SLC28A3; TK2; NME1,true
BMS-986115 has been used in trials studying the treatment of Various Advanced Cancer.,BMS-986115,LSK1L593UU,CC1=CC=CC2=C1NC(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(N)=O)N=C2C1=CC=CC(F)=C1,"","","",false
Fluciclovine is under investigation in clinical trial NCT03036943 (Fluciclovine (18F) Imaging of Breast Cancer).,Fluciclovine,YKG0YF688X,N[C@]1(C[C@H](F)C1)C(O)=O,"","","",false
IRX-2 contains multiple human cytokines that are being investigated to promote or enhance an anti-cancer immune response.,IRX-2,ZDR4QSJ43F,,"","","",false
"Rebamipide has been investigated for the treatment of Stomach Ulcer, Keratoconjunctivitis Sicca, and Gastric Adenoma and Early Gastric Cancer.",Rebamipide,LR583V32ZR,OC(=O)C(CC1=CC(=O)NC2=C1C=CC=C2)NC(=O)C1=CC=C(Cl)C=C1,"","","",true
"Cilengitide has been used in trials studying the treatment of Sarcoma, Gliomas, Lymphoma, Leukemia, and Lung Cancer, among others.",Cilengitide,4EDF46E4GI,CC(C)[C@@H]1N(C)C(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CCCNC(N)=N)NC1=O,"","","",false
"Icaritin has been used in trials studying the treatment of Solid Tumors, Metastatic Breast Cancer, and Hepatocellular Carcinoma (HCC).",Icaritin,UFE666UELY,COC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C(CC=C(C)C)=C2O1,"","","",false
"Tributyrin has been used in trials studying the treatment of Prostate Cancer and Unspecified Adult Solid Tumor, Protocol Specific.",Tributyrin,S05LZ624MF,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,Caspase-3,P42574,CASP3,false
Pyrotinib is under investigation in clinical trial NCT03756064 (Neoadjuvant Study of Pyrotinib in Patients With HER2 Positive Breast Cancer).,Pyrotinib,CJN36EQM0H,CCOC1=C(NC(=O)\C=C\[C@H]2CCCN2C)C=C2C(=C1)N=CC(C#N)=C2NC1=CC=C(OCC2=NC=CC=C2)C(Cl)=C1,"","","",false
"Balixafortide is under investigation in clinical trial NCT03786094 (Pivotal Study in HER2 Negative, Locally Recurrent or Metastatic Breast Cancer).",Balixafortide,PRC974M49B,,"","","",false
"Lapatinib is an anti-cancer drug developed by GlaxoSmithKline (GSK) as a treatment for solid tumours such as breast and lung cancer. It was approved by the FDA on March 13, 2007, for use in patients with advanced metastatic breast cancer in conjunction with the chemotherapy drug Capecitabine. Lapatinib is human epidermal growth factor receptor type 2 (HER2/ERBB2) and epidermal growth factor receptor (HER1/EGFR/ERBB1) tyrosine kinases inhibitor. It binds to the intracellular phosphorylation domain to prevent receptor autophosphorylation upon ligand binding.",Lapatinib,0VUA21238F,CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1,Epidermal growth factor receptor; Receptor tyrosine-protein kinase erbB-2; Cytochrome P450 3A4; Cytochrome P450 2C8; P-glycoprotein 1; Antigen peptide transporter 1; Cytochrome P450 3A5; Cytochrome P450 2C19,P00533; P04626; P08684; P10632; P08183; Q03518; P20815; P33261,EGFR; ERBB2; CYP3A4; CYP2C8; ABCB1; TAP1; CYP3A5; CYP2C19,true
Nrx194204 has been used in trials studying the treatment of Parkinson's Disease and Non-small Cell Lung Cancer.,VTP-194204,877M97Z38Y,C\C(\C=C\[C@@H]1C[C@]1(C)C1=CC=C2C(=C1)C(C)(C)CCC2(C)C)=C/C(O)=O,"","","",false
"Nagrestipen has been used in trials studying the treatment of CANCER, Neoplasm, Metastasis, Radiation Oncology, and Neoplasm Metastasis.",Nagrestipen,9350121Z8S,,"","","",false
BMS-275183 has been used in trials studying the treatment of Tumors and Non-small Cell Lung Cancer.,BMS-275183,UQC681JJIV,COC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)C2=CC=CC=C2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(C)=C([C@@H](OC(C)=O)C1=O)C2(C)C,"","","",false
"Dianhydrogalactitol has been used in trials studying the treatment of GBM, Glioma, Glioblastoma, Brain Cancer, and Glioblastoma Multiforme.",Dianhydrogalactitol,4S465RYF7M,O[C@@H]([C@@H](O)[C@H]1CO1)[C@@H]1CO1,"","","",false
Efungumab is under investigation in clinical trial NCT00217815 (Preliminary Study of Mycograb and Docetaxel in Advanced Breast Cancer).,Efungumab,BM86P708HW,,"","","",false
Alomfilimab is under investigation in clinical trial NCT03829501 (Safety and Efficacy of KY1044 and Atezolizumab in Advanced Cancer).,Alomfilimab,D2OPG50FF7,,"","","",false
"PTC299 is a novel, orally administered small-molecule designed to inhibit the production of vascular endothelial growth factor (VEGF) in tumors. Overexpression of VEGF plays a key role in multiple diseases including cancer and macular degeneration. PTC299 was discovered through PTC's GEMS technology by targeting the post-transcriptional processes that regulate VEGF formation, and is currently being developed for the treatment of cancer. ",PTC299,053QD2I96A,,"","","",false
"Tucatinbib is a kinase inhibitor drug used with [trastuzumab] and [capecitabine] in the treatment of unresectable or metastatic HER-2 positive breast cancer. It was developed by Seattle Genetics and approved by the FDA on April 17, 2020.[L12951] Tucatinib is a promising new treatment for patients with metastatic breast cancer who have not responded adequately to other chemotherapy regimens.[L12945]",Tucatinib,234248D0HH,CC1=CC(NC2=NC=NC3=CC=C(NC4=NC(C)(C)CO4)C=C23)=CC=C1OC1=CC2=NC=NN2C=C1,Receptor tyrosine-protein kinase erbB-2; ATP-binding cassette sub-family G member 2; P-glycoprotein 1; Solute carrier family 22 member 2; Multidrug and toxin extrusion protein 1; Multidrug and toxin extrusion protein 2; Cytochrome P450 2C8; Cytochrome P450 3A Subfamily; Receptor tyrosine-protein kinase erbB-2; Receptor tyrosine-protein kinase erbB-3,P04626; Q9UNQ0; P08183; O15244; Q96FL8; Q86VL8; P10632; P08684; Q9HB55; P20815; P24462; P21860,ERBB2; ABCG2; ABCB1; SLC22A2; SLC47A1; SLC47A2; CYP2C8; CYP3A4; CYP3A43; CYP3A5; CYP3A7; ERBB3,true
"Sipuleucel-T is a personalized, autologous, cellular immunotherapy. Sipuleucel-T is a therapeutic cancer vaccine for prostate cancer. Sipuleucel-T selectively targets the prostate-specific antigen (PSA) known as prostatic acid phosphatase (PAP) that is expressed in around 95% of prostate cancers. It must be prepared specifically for each patient. In metastatic prostate cancer, it has extended survival by median 4.1 months (IMPACT Phase III trial data). Sipuleucel-T is marketed under the brand name Provenge by Dendreon Corporation. Sipuleucel-T was approved by the U.S. Food and Drug Administration (FDA) on April 29, 2010, to treat asymptomatic or minimally symptomatic metastatic Hormone-Refractory Prostate Cancer (HRPC). The treatment initially cost $93,000 at the time of FDA approval, but rose to over $100,000 in 2014.",Sipuleucel-T,8Q622VDR18,,Prostatic acid phosphatase,P15309,ACPP,true
"AVN944 is a biotech drug that demonstrated a statistically meaningful impact on IMPDH and other proteins that are critical to activities in cancer cells, including nucleotide biosynthesis, energy and metabolism, DNA replication, apoptosis and cell cycle control. AVN944 has been associated with cancer cell death in clinical trials. It is being investigated for the treatment of patients with advanced hematologic malignancies.",AVN-944,I3NPL1V48Q,,"","","",false
